timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694427976232,590,Get Book,200,OK,Endurance Test 3-1,text,true,,4424,162,2,5,http://sampleapplication-appservice.azurewebsites.net/api/Books/3,590,0,333
1694427976224,733,Get Authors,200,OK,Stress Test 2-1,text,true,,31723,162,2,5,http://sampleapplication-appservice.azurewebsites.net/api/Authors,540,0,341
1694427976822,176,GET Book cover photo,200,OK,Endurance Test 3-1,text,true,,358,165,2,5,http://sampleapplication-appservice.azurewebsites.net/books/covers/3,176,0,0
1694427976230,908,GET All Activities,200,OK,Starter 1-1,text,true,,3109,191,1,5,https://sampleapplication-appservice.azurewebsites.net/api/Activities,908,0,720
1694427976958,181,Get Books,200,OK,Stress Test 2-1,text,true,,405,166,2,5,http://sampleapplication-appservice.azurewebsites.net/authors/books/1,181,0,0
1694427976727,431,Get Book,200,OK,Endurance Test 3-2,text,true,,5799,162,2,5,http://sampleapplication-appservice.azurewebsites.net/api/Books/5,431,0,185
1694427976998,175,Get user,200,OK,Endurance Test 3-1,text,true,,310,162,2,5,http://sampleapplication-appservice.azurewebsites.net/api/Users/3,175,0,0
1694427977139,193,Get Authors,200,OK,Stress Test 2-1,text,true,,31723,162,2,5,http://sampleapplication-appservice.azurewebsites.net/api/Authors,185,0,0
1694427977158,181,GET Book cover photo,200,OK,Endurance Test 3-2,text,true,,358,165,2,5,http://sampleapplication-appservice.azurewebsites.net/books/covers/5,181,0,0
1694427977174,239,Get Book,200,OK,Endurance Test 3-1,text,true,,4391,162,2,5,http://sampleapplication-appservice.azurewebsites.net/api/Books/2,239,0,0
1694427976726,735,Get Authors,200,OK,Stress Test 2-2,text,true,,47615,162,2,5,http://sampleapplication-appservice.azurewebsites.net/api/Authors,374,0,178
1694427977140,366,Get Authors,200,OK,Starter 1-1,text,true,,330,190,1,5,http://sampleapplication-appservice.azurewebsites.net/api/Authors/2,366,0,177
1694427977333,175,Get Books,200,OK,Stress Test 2-1,text,true,,549,166,2,5,http://sampleapplication-appservice.azurewebsites.net/authors/books/1,175,0,0
1694427977339,177,Get user,200,OK,Endurance Test 3-2,text,true,,310,162,2,5,http://sampleapplication-appservice.azurewebsites.net/api/Users/5,177,0,0
